,Date,close,high,low,open,volume
2935,8/15/2013,6.971399784,6.976699829,6.961599827,6.970099926,0
2936,8/16/2013,6.967899799,6.97840023,6.961299896,6.967299938,0
2937,8/19/2013,6.880899906,6.975299835,6.875,6.880300045,0
2938,8/20/2013,6.96969986,6.976399899,6.960400105,6.969500065,0
2939,8/21/2013,6.968100071,6.985000134,6.960599899,6.968299866,0
2940,8/22/2013,6.972599983,6.980000019,6.958899975,6.972300053,0
2941,8/23/2013,6.967700005,6.982500076,6.958799839,6.966199875,0
2942,8/26/2013,6.964000225,6.985000134,6.958000183,6.962999821,0
2943,8/27/2013,6.966400146,6.985000134,6.950699806,6.967899799,0
2944,8/28/2013,6.957900047,6.973899841,6.951900005,6.958600044,0
2945,8/29/2013,6.969399929,6.974500179,6.959799767,6.969200134,0
2946,8/30/2013,6.970200062,6.973199844,6.959499836,6.968599796,0
2947,9/2/2013,6.888800144,7.047800064,6.887499809,6.888800144,0
2948,9/3/2013,6.966499805,6.975999832,6.95909977,6.966400146,0
2949,9/4/2013,6.965799809,6.972700119,6.879499912,6.96570015,0
2950,9/5/2013,6.886400223,6.893700123,6.879700184,6.886400223,0
2951,9/6/2013,6.887499809,6.893799782,6.879000187,6.887000084,0
2952,9/9/2013,6.891499996,7.063499928,6.869900227,6.89139986,0
2953,9/10/2013,6.874899864,6.88409996,6.868800163,6.875800133,0
2954,9/11/2013,6.875999928,6.883999825,6.869999886,6.875199795,0
2955,9/12/2013,6.875999928,6.885300159,6.867499828,6.875999928,0
2956,9/13/2013,6.874400139,6.882599831,6.868299961,6.874599934,0
2957,9/16/2013,6.744999886,6.882199764,6.738699913,6.744800091,0
2958,9/17/2013,6.875100136,6.882100105,6.869100094,6.875899792,0
2959,9/18/2013,6.874300003,6.880400181,6.868700027,6.875100136,0
2960,9/19/2013,6.87869978,6.882400036,6.867599964,6.876200199,0
2961,9/20/2013,6.87349987,6.881899834,6.868000031,6.873899937,0
2962,9/23/2013,6.783599854,6.881499767,6.781899929,6.783500195,0
2963,9/24/2013,6.873099804,6.881100178,6.867099762,6.874599934,0
2964,9/25/2013,6.873799801,6.879099846,6.857299805,6.872900009,0
2965,9/26/2013,6.875,6.880899906,6.86619997,6.874899864,0
2966,9/27/2013,6.874300003,6.880000114,6.867800236,6.872799873,0
2967,9/30/2013,6.785600185,6.882500172,6.779900074,6.785999775,0
2968,10/1/2013,6.872300148,6.885000229,6.865399837,6.87130022,0
2969,10/2/2013,6.87130022,6.881100178,6.86590004,6.871200085,0
2970,10/3/2013,6.871799946,6.879000187,6.864500046,6.870699883,0
2971,10/4/2013,6.873600006,6.885000229,6.867300034,6.873899937,0
2972,10/7/2013,6.793799877,6.878399849,6.790100098,6.794300079,0
2973,10/9/2013,6.872799873,6.882500172,6.866600037,6.872099876,0
2974,10/10/2013,6.869800091,6.879700184,6.864900112,6.870600224,0
2975,10/11/2013,6.870200157,6.882500172,6.86439991,6.869999886,0
2976,10/14/2013,6.78579998,6.877399921,6.780600071,6.785900116,0
2977,10/15/2013,6.869800091,6.882500172,6.863699913,6.870299816,0
2978,10/16/2013,6.873000145,6.880000114,6.864600182,6.874100208,0
2979,10/17/2013,6.873000145,6.878799915,6.863599777,6.87169981,0
2980,10/18/2013,6.874199867,6.877799988,6.865300179,6.874400139,0
2981,10/21/2013,6.788400173,6.882500172,6.788499832,6.788499832,0
2982,10/22/2013,6.870699883,6.882500172,6.865699768,6.87169981,0
2983,10/23/2013,6.872300148,6.880000114,6.864799976,6.872099876,0
2984,10/24/2013,6.870800018,6.880000114,6.864500046,6.871099949,0
2985,10/25/2013,6.869900227,6.878399849,6.864699841,6.870200157,0
2986,10/28/2013,6.777800083,6.882500172,6.772600174,6.778800011,0
2987,10/29/2013,6.870900154,6.880000114,6.863699913,6.871099949,0
2988,10/30/2013,6.872499943,6.880000114,6.863800049,6.870999813,0
2989,10/31/2013,6.868999958,6.880000114,6.862800121,6.867000103,0
2990,11/1/2013,6.870900154,6.884500027,6.862100124,6.872200012,0
2991,11/4/2013,6.787799835,6.878099918,6.783100128,6.788000107,0
2992,11/5/2013,6.868400097,6.882500172,6.863999844,6.870699883,0
2993,11/6/2013,6.871500015,6.880000114,6.861000061,6.87130022,0
2994,11/7/2013,6.870399952,6.877600193,6.862800121,6.870600224,0
2995,11/8/2013,6.870800018,6.882500172,6.859499931,6.870699883,0
2996,11/11/2013,6.814199924,6.876599789,6.80369997,6.814099789,0
2997,11/12/2013,6.86950016,6.880000114,6.861899853,6.870800018,0
2998,11/13/2013,6.871500015,6.880000114,6.863900185,6.871600151,0
2999,11/14/2013,6.870999813,6.882500172,6.863100052,6.872799873,0
3000,11/15/2013,6.87169981,6.882500172,6.863699913,6.870200157,0
3001,11/18/2013,6.760399818,6.876699924,6.753499985,6.759699821,0
3002,11/19/2013,6.870299816,6.880000114,6.860899925,6.870999813,0
3003,11/20/2013,6.869400024,6.876999855,6.861899853,6.870200157,0
3004,11/21/2013,6.86920023,6.880000114,6.863699913,6.869800091,0
3005,11/22/2013,6.871799946,6.882500172,6.861999989,6.872000217,0
