"Date","Price","Open","High","Low","Vol.","Change %"
"02-08-2018","29,487","29,480","29,565","29,451","0.13K","0.22%"
"01-08-2018","29,422","29,615","29,670","29,369","0.62K","-0.78%"
"31-07-2018","29,653","29,705","29,726","29,565","5.42K","-0.31%"
"30-07-2018","29,745","29,705","29,792","29,687","4.54K","-0.12%"
"27-07-2018","29,780","29,750","29,825","29,652","7.37K","-0.03%"
"26-07-2018","29,788","29,841","29,904","29,771","6.16K","-0.42%"
"25-07-2018","29,915","29,811","29,988","29,791","7.27K","0.17%"
"24-07-2018","29,863","29,845","29,932","29,731","6.92K","-0.03%"
"23-07-2018","29,872","29,921","29,984","29,825","6.58K","-0.16%"
"20-07-2018","29,920","29,800","29,960","29,733","5.60K","0.12%"
"19-07-2018","29,885","29,800","29,945","29,658","7.32K","0.40%"
"18-07-2018","29,766","29,751","29,780","29,638","7.03K","0.12%"
"17-07-2018","29,729","30,019","30,087","29,701","8.38K","-1.17%"
"16-07-2018","30,080","30,177","30,225","30,060","4.81K","-0.08%"
"13-07-2018","30,105","30,146","30,183","30,014","6.46K","-0.14%"
"12-07-2018","30,147","30,240","30,290","30,137","6.41K","-0.54%"
"11-07-2018","30,310","30,479","30,515","30,291","5.49K","-0.71%"
"10-07-2018","30,528","30,650","30,655","30,404","7.19K","-0.29%"
"09-07-2018","30,617","30,611","30,778","30,600","6.68K","0.19%"
"06-07-2018","30,560","30,737","30,737","30,546","4.71K","-0.29%"
"05-07-2018","30,650","30,617","30,718","30,545","6.09K","0.12%"
"04-07-2018","30,614","30,561","30,650","30,531","4.97K","0.40%"
"03-07-2018","30,493","30,321","30,573","30,244","8.76K","0.67%"
"02-07-2018","30,289","30,399","30,518","30,270","7.10K","-0.47%"
"29-06-2018","30,432","30,460","30,505","30,356","7.64K","-0.25%"
"28-06-2018","30,508","30,669","30,689","30,475","6.58K","-0.61%"
"27-06-2018","30,695","30,530","30,720","30,516","7.86K","0.46%"
"26-06-2018","30,554","30,628","30,641","30,452","7.40K","-0.34%"
"25-06-2018","30,657","30,655","30,738","30,621","5.02K","0.15%"
"22-06-2018","30,610","30,567","30,656","30,551","5.74K","-0.02%"
"21-06-2018","30,616","30,750","30,750","30,515","8.10K","-0.54%"
"20-06-2018","30,781","30,870","30,885","30,757","5.68K","-0.36%"
"19-06-2018","30,891","31,035","31,098","30,875","8.65K","-0.27%"
"18-06-2018","30,974","30,975","31,026","30,929","5.98K","-0.12%"
"15-06-2018","31,010","31,393","31,424","30,958","11.93K","-1.17%"
"14-06-2018","31,377","31,192","31,418","31,192","8.68K","0.75%"
"13-06-2018","31,143","31,141","31,187","31,107","4.00K","-0.04%"
"12-06-2018","31,156","31,173","31,208","31,075","6.34K","-0.19%"
"11-06-2018","31,216","31,186","31,260","31,075","6.22K","0.00%"
"08-06-2018","31,215","31,153","31,334","31,060","6.71K","0.07%"
"07-06-2018","31,193","30,950","31,216","30,943","8.32K","1.08%"
"06-06-2018","30,861","30,981","31,024","30,840","6.27K","0.73%"
"05-06-2018","30,637","30,670","30,680","30,600","0.02K","-0.16%"
"04-06-2018","30,685","30,700","30,704","30,540","0.05K","0.46%"
"01-06-2018","30,546","30,704","30,777","30,500","1.05K","-0.92%"
"31-05-2018","30,831","31,066","31,113","30,785","6.31K","-0.66%"
"30-05-2018","31,035","31,150","31,150","30,926","8.56K","-0.49%"
"29-05-2018","31,188","31,050","31,325","31,025","11.20K","0.73%"
"28-05-2018","30,963","31,150","31,150","30,888","7.13K","-0.72%"
"25-05-2018","31,189","31,370","31,428","31,165","8.56K","-0.91%"
"24-05-2018","31,474","31,258","31,510","31,238","8.91K","0.93%"
"23-05-2018","31,183","31,125","31,389","31,095","10.47K","0.24%"
"22-05-2018","31,108","31,100","31,160","30,990","6.71K","-0.01%"
"21-05-2018","31,112","31,040","31,127","30,912","6.77K","0.07%"
"18-05-2018","31,091","30,944","31,110","30,944","6.10K","0.36%"
"17-05-2018","30,978","30,976","30,995","30,851","7.91K","-0.06%"
"16-05-2018","30,997","31,160","31,160","30,925","8.68K","-0.57%"
"15-05-2018","31,175","31,450","31,516","31,161","11.82K","-1.04%"
"14-05-2018","31,504","31,450","31,579","31,384","6.24K","-0.04%"
"11-05-2018","31,518","31,380","31,570","31,363","6.91K","0.49%"
"10-05-2018","31,365","31,353","31,487","31,241","9.92K","0.18%"
"09-05-2018","31,309","31,250","31,375","31,163","9.17K","0.32%"
"08-05-2018","31,210","31,228","31,252","31,078","8.20K","-0.15%"
"07-05-2018","31,258","31,150","31,310","31,150","6.74K","0.46%"
"04-05-2018","31,114","31,020","31,139","30,990","6.80K","0.22%"
"03-05-2018","31,046","30,941","31,122","30,878","8.82K","0.39%"
"02-05-2018","30,925","31,014","31,014","30,901","7.05K","-0.01%"
"01-05-2018","30,929","30,950","30,971","30,865","5.12K","-0.34%"
"30-04-2018","31,036","31,170","31,170","30,925","9.30K","-0.56%"
"27-04-2018","31,211","31,166","31,277","31,126","5.43K","-0.13%"
"26-04-2018","31,252","31,332","31,372","31,183","7.40K","-0.49%"
"25-04-2018","31,406","31,417","31,430","31,329","6.60K","0.11%"
"24-04-2018","31,372","31,257","31,395","31,203","7.11K","0.30%"
"23-04-2018","31,277","31,370","31,385","31,211","7.65K","-0.49%"
"20-04-2018","31,432","31,522","31,564","31,396","6.40K","-0.53%"
"19-04-2018","31,598","31,567","31,620","31,430","7.68K","0.20%"
"18-04-2018","31,534","31,350","31,591","31,291","8.62K","0.48%"
"17-04-2018","31,383","31,272","31,396","31,190","9.24K","0.27%"
"16-04-2018","31,298","31,200","31,355","31,155","8.14K","0.58%"
"13-04-2018","31,118","31,031","31,185","30,870","8.39K","0.37%"
"12-04-2018","31,002","31,306","31,335","30,965","10.88K","-1.13%"
"11-04-2018","31,355","30,950","31,562","30,931","13.41K","1.47%"
"10-04-2018","30,900","30,701","30,936","30,675","7.42K","0.46%"
"09-04-2018","30,759","30,659","30,779","30,642","6.70K","0.21%"
"06-04-2018","30,694","30,640","30,749","30,500","11.83K","0.72%"
"05-04-2018","30,476","30,650","30,700","30,350","0.02K","-0.80%"
"04-04-2018","30,722","30,765","30,970","30,550","0.06K","0.29%"
"03-04-2018","30,634","30,681","30,899","30,582","0.30K","-0.96%"
"02-04-2018","30,931","30,545","30,995","30,521","1.75K","1.72%"
"29-03-2018","30,408","30,546","30,550","30,378","2.57K","-0.37%"
"28-03-2018","30,521","30,775","30,775","30,500","7.55K","-0.58%"
"27-03-2018","30,699","30,864","30,904","30,664","10.55K","-0.66%"
"26-03-2018","30,902","30,855","30,929","30,760","7.56K","-0.02%"
"23-03-2018","30,907","30,625","30,950","30,625","10.93K","1.36%"
"22-03-2018","30,493","30,530","30,615","30,465","9.25K","0.14%"
"21-03-2018","30,449","30,270","30,525","30,251","9.82K","0.61%"
"20-03-2018","30,263","30,351","30,356","30,185","9.26K","-0.51%"
"19-03-2018","30,418","30,180","30,439","30,095","9.87K","0.64%"
"16-03-2018","30,224","30,255","30,349","30,145","9.01K","-0.25%"
"15-03-2018","30,299","30,433","30,473","30,264","7.75K","-0.35%"
"14-03-2018","30,405","30,420","30,546","30,356","8.37K","0.09%"
"13-03-2018","30,377","30,322","30,409","30,237","9.86K","0.15%"
"12-03-2018","30,332","30,403","30,427","30,267","6.41K","-0.23%"
"09-03-2018","30,401","30,384","30,470","30,280","9.75K","-0.09%"
"08-03-2018","30,429","30,477","30,546","30,396","7.26K","-0.15%"
"07-03-2018","30,474","30,650","30,650","30,394","8.20K","-0.32%"
"06-03-2018","30,573","30,397","30,687","30,362","9.73K","0.73%"
"05-03-2018","30,352","30,460","30,548","30,341","6.15K","-0.32%"
"02-03-2018","30,448","30,250","30,528","30,250","4.87K","0.94%"
"01-03-2018","30,165","30,320","30,320","30,119","7.91K","-0.70%"
"28-02-2018","30,379","30,310","30,446","30,287","7.48K","0.28%"
"27-02-2018","30,295","30,540","30,610","30,272","9.75K","-0.77%"
"26-02-2018","30,531","30,526","30,644","30,501","6.99K","0.07%"
"23-02-2018","30,509","30,501","30,525","30,427","5.68K","-0.21%"
"22-02-2018","30,573","30,459","30,590","30,400","7.36K","0.32%"
"21-02-2018","30,476","30,451","30,539","30,387","7.87K","-0.18%"
"20-02-2018","30,532","30,629","30,774","30,511","9.45K","-0.68%"
"19-02-2018","30,742","30,763","30,792","30,725","4.28K","-0.24%"
"16-02-2018","30,816","30,650","30,839","30,650","9.08K","0.78%"
"15-02-2018","30,579","30,641","30,681","30,531","8.33K","-0.15%"
"14-02-2018","30,624","30,250","30,687","30,043","11.44K","1.34%"
"13-02-2018","30,218","30,200","30,250","30,102","3.23K","0.22%"
"12-02-2018","30,152","30,118","30,178","30,030","5.84K","0.48%"
"09-02-2018","30,009","30,055","30,102","29,891","9.13K","-0.33%"
"08-02-2018","30,107","29,950","30,173","29,805","9.85K","0.37%"
"07-02-2018","29,995","30,223","30,250","29,972","8.27K","-0.64%"
"06-02-2018","30,187","30,350","30,714","30,165","11.15K","-0.25%"
"05-02-2018","30,262","30,420","30,420","30,222","0.29K","-0.35%"
"02-02-2018","30,367","30,660","30,720","30,244","0.77K","-0.45%"
"01-02-2018","30,505","30,189","30,570","30,041","1.54K","1.29%"
"31-01-2018","30,117","30,069","30,167","30,052","5.95K","0.22%"
"30-01-2018","30,052","29,978","30,170","29,954","8.58K","-0.03%"
"29-01-2018","30,060","30,150","30,150","29,980","6.91K","-0.99%"
"25-01-2018","30,361","30,300","30,464","30,170","7.04K","0.37%"
"24-01-2018","30,249","29,935","30,291","29,916","9.18K","1.13%"
"23-01-2018","29,911","29,873","29,932","29,781","6.74K","0.26%"
"22-01-2018","29,834","29,699","29,863","29,699","7.06K","0.27%"
"19-01-2018","29,755","29,601","29,780","29,595","5.57K","0.37%"
"18-01-2018","29,645","29,650","29,700","29,550","6.35K","-0.38%"
"17-01-2018","29,757","29,801","29,829","29,680","6.27K","-0.22%"
"16-01-2018","29,822","29,799","29,850","29,740","7.66K","0.24%"
"15-01-2018","29,752","29,600","29,779","29,600","5.50K","0.69%"
"12-01-2018","29,547","29,450","29,580","29,420","8.19K","0.53%"
"11-01-2018","29,390","29,309","29,406","29,293","6.58K","0.23%"
"10-01-2018","29,324","29,135","29,430","29,121","10.08K","0.58%"
"09-01-2018","29,156","29,258","29,267","29,140","6.24K","-0.36%"
"08-01-2018","29,261","29,193","29,299","29,165","5.64K","0.15%"
"05-01-2018","29,217","29,250","29,284","29,155","5.81K","-0.04%"
"04-01-2018","29,230","29,187","29,245","29,061","7.36K","0.02%"
"03-01-2018","29,225","29,193","29,270","29,165","5.89K","0.22%"
"02-01-2018","29,162","29,150","29,225","29,111","5.17K","0.13%"
"01-01-2018","29,123","29,160","29,184","29,101","1.47K","-0.11%"
"29-12-2017","29,156","29,030","29,175","28,955","6.90K","0.50%"
"28-12-2017","29,012","28,970","29,078","28,910","6.11K","0.24%"
"27-12-2017","28,942","28,805","28,959","28,805","5.53K","0.39%"
"26-12-2017","28,829","28,676","28,839","28,676","3.60K","0.61%"
"22-12-2017","28,653","28,484","28,666","28,465","5.38K","0.53%"
"21-12-2017","28,501","28,502","28,550","28,433","5.25K","0.03%"
"20-12-2017","28,493","28,452","28,524","28,438","5.02K","0.31%"
"19-12-2017","28,405","28,462","28,494","28,374","4.82K","-0.23%"
"18-12-2017","28,470","28,358","28,490","28,291","4.96K","0.76%"
"15-12-2017","28,254","28,273","28,399","28,205","5.29K","-0.22%"
"14-12-2017","28,317","28,365","28,429","28,221","6.59K","0.43%"
"13-12-2017","28,195","28,200","28,254","28,102","5.28K","0.19%"
"12-12-2017","28,142","28,365","28,368","28,055","7.64K","-0.72%"
"11-12-2017","28,347","28,535","28,535","28,334","6.26K","-0.65%"
"08-12-2017","28,533","28,650","28,650","28,471","7.47K","-0.47%"
"07-12-2017","28,667","28,916","28,924","28,653","7.41K","-1.04%"
"06-12-2017","28,967","28,960","29,046","28,931","5.83K","0.12%"
"05-12-2017","28,932","29,068","29,109","28,800","0.01K","-0.33%"
"04-12-2017","29,027","29,029","29,187","29,000","0.05K","-0.62%"
"01-12-2017","29,209","29,099","29,269","29,040","0.89K","0.68%"
"30-11-2017","29,012","29,205","29,276","28,950","5.67K","-0.72%"
"29-11-2017","29,223","29,438","29,457","29,200","6.74K","-0.58%"
"28-11-2017","29,393","29,480","29,489","29,368","6.05K","-0.35%"
"27-11-2017","29,497","29,430","29,533","29,410","6.58K","0.40%"
"24-11-2017","29,380","29,507","29,527","29,367","4.96K","-0.20%"
"23-11-2017","29,439","29,515","29,533","29,410","4.72K","-0.31%"
"22-11-2017","29,530","29,324","29,549","29,285","6.69K","0.62%"
"21-11-2017","29,347","29,408","29,440","29,276","7.20K","-0.08%"
"20-11-2017","29,370","29,646","29,725","29,344","8.00K","-1.08%"
"17-11-2017","29,690","29,420","29,725","29,351","7.75K","0.63%"
"16-11-2017","29,503","29,501","29,536","29,445","5.56K","-0.07%"
"15-11-2017","29,525","29,600","29,745","29,500","7.98K","-0.33%"
"14-11-2017","29,622","29,502","29,662","29,427","8.74K","0.04%"
"13-11-2017","29,611","29,482","29,624","29,463","5.65K","0.41%"
"10-11-2017","29,491","29,625","29,696","29,466","7.66K","-0.57%"
"09-11-2017","29,661","29,467","29,687","29,454","8.45K","0.43%"
"08-11-2017","29,535","29,474","29,583","29,420","6.89K","0.33%"
"07-11-2017","29,437","29,318","29,470","29,316","7.34K","0.32%"
"06-11-2017","29,344","29,200","29,372","29,109","6.47K","0.88%"
"03-11-2017","29,088","29,253","29,280","29,069","7.07K","-0.53%"
"02-11-2017","29,244","29,214","29,370","29,200","7.47K","0.08%"
"01-11-2017","29,221","29,150","29,342","29,090","8.77K","0.23%"
"31-10-2017","29,153","29,330","29,368","29,136","8.31K","-0.79%"
"30-10-2017","29,384","29,295","29,410","29,229","6.01K","0.23%"
"27-10-2017","29,318","29,250","29,340","29,209","7.35K","0.16%"
"26-10-2017","29,270","29,393","29,470","29,242","8.30K","-0.42%"
"25-10-2017","29,394","29,463","29,472","29,306","8.92K","-0.50%"
"24-10-2017","29,541","29,571","29,574","29,467","6.51K","0.01%"
"23-10-2017","29,537","29,500","29,591","29,384","6.62K","-0.06%"
"20-10-2017","29,554","29,572","29,637","29,535","2.64K","-0.42%"
"19-10-2017","29,679","29,631","29,697","29,612","1.52K","0.38%"
"18-10-2017","29,568","29,647","29,677","29,522","4.73K","-0.10%"
"17-10-2017","29,598","29,810","29,810","29,570","7.48K","-0.86%"
"16-10-2017","29,854","29,839","29,955","29,813","6.20K","0.01%"
"13-10-2017","29,851","29,805","29,868","29,720","8.19K","0.12%"
"12-10-2017","29,814","29,775","29,900","29,710","6.81K","0.36%"
"11-10-2017","29,707","29,780","29,822","29,690","6.10K","-0.40%"
"10-10-2017","29,825","29,780","29,859","29,751","7.04K","0.31%"
"09-10-2017","29,732","29,698","29,772","29,664","5.83K","0.54%"
"06-10-2017","29,573","29,361","29,598","29,312","10.41K","0.80%"
"05-10-2017","29,337","29,367","29,430","29,310","0.08K","0.16%"
"04-10-2017","29,290","29,413","29,455","29,260","0.31K","-0.22%"
"03-10-2017","29,355","29,500","29,500","29,300","1.05K","-0.68%"
"29-09-2017","29,557","29,604","29,671","29,526","7.79K","-0.17%"
"28-09-2017","29,608","29,663","29,686","29,522","8.43K","-0.17%"
"27-09-2017","29,658","29,840","29,928","29,626","9.28K","-0.72%"
"26-09-2017","29,872","30,100","30,169","29,780","11.18K","-0.56%"
"25-09-2017","30,039","29,510","30,129","29,510","10.18K","1.53%"
"22-09-2017","29,585","29,650","29,746","29,556","8.58K","0.07%"
"21-09-2017","29,564","29,555","29,623","29,443","11.62K","-0.71%"
"20-09-2017","29,774","29,693","29,799","29,680","7.92K","0.52%"
"19-09-2017","29,621","29,566","29,682","29,546","8.62K","0.25%"
"18-09-2017","29,547","29,820","29,820","29,538","9.04K","-1.03%"
"15-09-2017","29,856","30,022","30,040","29,825","9.54K","-0.51%"
"14-09-2017","30,010","29,807","30,050","29,765","11.10K","0.41%"
"13-09-2017","29,886","29,999","30,058","29,820","9.71K","-0.19%"
"12-09-2017","29,943","29,911","29,971","29,820","8.28K","0.03%"
"11-09-2017","29,933","30,200","30,200","29,917","7.59K","-1.11%"
"08-09-2017","30,268","30,382","30,474","30,210","10.51K","-0.05%"
"07-09-2017","30,282","30,076","30,368","30,055","10.83K","0.69%"
"06-09-2017","30,075","30,245","30,286","30,035","9.03K","-0.49%"
"05-09-2017","30,223","30,178","30,243","29,955","12.05K","0.39%"
"04-09-2017","30,105","30,011","30,267","30,011","8.89K","0.95%"
"01-09-2017","29,823","29,735","29,880","29,688","9.75K","0.26%"
"31-08-2017","29,745","29,500","29,767","29,412","10.31K","0.64%"
"30-08-2017","29,555","29,641","29,641","29,466","10.39K","-0.36%"
"29-08-2017","29,662","29,550","29,937","29,550","13.13K","0.54%"
"28-08-2017","29,503","29,195","29,518","29,173","10.80K","1.15%"
"25-08-2017","29,167","29,096","29,224","28,777","7.63K","0.23%"
"24-08-2017","29,099","29,142","29,182","29,046","7.54K","-0.22%"
"23-08-2017","29,164","29,106","29,214","29,074","8.27K","0.20%"
"22-08-2017","29,105","29,238","29,238","29,036","10.05K","-0.61%"
"21-08-2017","29,283","29,125","29,314","29,079","9.85K","0.41%"
"18-08-2017","29,163","29,170","29,443","29,075","13.29K","0.04%"
"17-08-2017","29,151","29,050","29,229","29,050","9.18K","0.69%"
"16-08-2017","28,952","28,950","28,970","28,800","9.71K","-0.44%"
"14-08-2017","29,080","29,114","29,163","29,023","7.63K","-0.42%"
"11-08-2017","29,203","29,199","29,295","29,071","10.91K","0.09%"
"10-08-2017","29,176","28,900","29,223","28,900","11.25K","1.15%"
"09-08-2017","28,844","28,520","28,865","28,520","10.51K","1.64%"
"08-08-2017","28,379","28,462","28,529","28,300","8.52K","-0.27%"
"07-08-2017","28,457","28,389","28,488","28,372","5.20K","-0.41%"
"04-08-2017","28,573","28,487","28,666","28,435","0.09K","0.30%"
"03-08-2017","28,487","28,383","28,499","28,300","0.07K","0.18%"
"02-08-2017","28,437","28,420","28,509","28,400","0.41K","0.12%"
"01-08-2017","28,404","28,521","28,569","28,350","1.03K","-0.54%"
"31-07-2017","28,557","28,473","28,620","28,467","5.80K","-0.08%"
"28-07-2017","28,580","28,477","28,595","28,395","7.42K","0.37%"
"27-07-2017","28,476","28,600","28,607","28,367","9.93K","0.32%"
"26-07-2017","28,384","28,400","28,403","28,304","7.81K","-0.33%"
"25-07-2017","28,478","28,538","28,579","28,392","9.36K","-0.13%"
"24-07-2017","28,516","28,563","28,610","28,500","7.13K","-0.09%"
"21-07-2017","28,541","28,327","28,559","28,283","7.65K","0.74%"
"20-07-2017","28,331","28,217","28,380","28,131","10.72K","0.29%"
"19-07-2017","28,250","28,255","28,260","28,121","8.18K","-0.01%"
"18-07-2017","28,253","28,138","28,285","28,125","8.88K","0.47%"
"17-07-2017","28,120","28,050","28,143","28,025","8.85K","0.44%"
"14-07-2017","27,996","27,823","28,073","27,771","10.35K","0.57%"
"13-07-2017","27,837","27,950","27,957","27,812","7.67K","-0.05%"
"12-07-2017","27,851","27,915","27,977","27,802","9.29K","0.06%"
"11-07-2017","27,834","27,742","27,870","27,678","8.99K","0.14%"
"10-07-2017","27,794","27,732","27,820","27,603","11.05K","0.04%"
"07-07-2017","27,784","28,050","28,118","27,724","13.70K","-1.18%"
"06-07-2017","28,116","28,170","28,188","28,092","8.58K","0.03%"
"05-07-2017","28,107","28,170","28,191","28,005","11.93K","-0.03%"
"04-07-2017","28,115","28,073","28,213","28,073","7.97K","0.10%"
"03-07-2017","28,086","28,421","28,421","28,067","13.17K","-1.24%"
"30-06-2017","28,439","28,609","28,609","28,405","9.16K","-0.59%"
